name;price;stock;description;categoryRef;imageUrl
SEPATU PUREBOOST 23;2100000;100;Menjalani sesi lari harian menjadi hal yang menyenangkan dengan sepatu running adidas Pureboost 23. BOOST ukuran penuh memberikan pengembalian energi terbaik, dan lubang-lubang strategis di sepanjang outsole berbahan karet memungkinkan busa untuk memampat dan meregang saat berlari. Upper berbahan mesh rekayasa yang ringan memaksimalkan bersirkulasi udara di bagian kaki dengan potensi panas dan suportif di bagian yang diperlukan, menghasilkan pengalaman lari yang nyaman dari jari hingga tumit. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;running;https://www.adidas.co.id/media/catalog/product/i/f/if1544_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU DURAMO SL;900000;100;Latihan untuk mencapai rekor pribadi terbaik, atau hanya mencoba untuk sampai di halte bus tepat waktu? Apa pun tujuanmu, ke mana pun kamu pergi, Sepatu adidas Duramo SL menempatkan sensasi yang pas dalam langkahmu dengan bantalan LIGHTMOTION yang ringan, responsif, dan didesain untuk kenyamanan. Upper berbahan airy mesh membuat kaki tetap terasa sejuk dan kering seberapa intens pun olahragamu. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;running;https://www.adidas.co.id/media/catalog/product/i/e/ie7966_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU 4DFWD 3;3500000;100;Embrace the rush of a run in these adidas 4DFWD 3 running shoes. Named for the futuristic cushioning they ride on, their 3D-printed midsole propels you forwards with every stride. these shoes turn city streets into an open track. An adidas PRIMEKNIT upper fits like a sock and moves with your foot for an unbeatably precise, adaptive feel. Continental� rubber underfoot grips the ground to push you onward. Whether you're training for your first 5K or gearing up for a marathon, 4DFWD shoes will have you sprinting to your full potential.By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste. Renewable materials choices will help us to remove our reliance on finite resources. Our products made with a blend of recycled and renewable materials feature at least 20% total of these materials.;running;https://www.adidas.co.id/media/catalog/product/i/d/id3487_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU SUPERNOVA RISE;2200000;100;Konsistensi menjadi kunci untuk menjadi pelari yang lebih baik. Terus berlari dengan sepatu running adidas yang didesain dengan kenyamanan dan topangan yang menjadi penentu performa ini. Midsole Dreamstrike+ menjadi bantalan dalam setiap pendaratan. Outsole Adiwear yang awet memberikan traksi yang dapat diandalkan. Dengan memilih untuk mendaur ulang, kita dapat menggunakan kembali material yang telah dibuat, yang membantu mengurangi limbah. Pilihan material terbarukan akan membantu kita menghapus ketergantungan pada sumber daya terbatas. Produk kami dibuat dari paduan material daur ulang dan terbarukan, mengandung sedikitnya 20% total dari material ini.;running;https://www.adidas.co.id/media/catalog/product/i/d/id2779_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU ADIZERO TAKUMI SEN 10;3200000;100;Ketika milidetik berarti, sepatu running adidas ini didesain khusus untuk kecepatan. Bantalan Lightstrike Pro secepat kilat membuat kakimu tetap ringan hingga ke garis finis, sedangkan ENERGYRODS mengurangi hilangnya energi sehingga kamu dapat mempertahankan tempo larimu. Untuk pelari yang tidak pernah berhenti mengejar kecepatan, Adizero Takumi Sen adalah sepatu yang tidak pernah berhenti berinovasi dengan kecepatan. Produk ini memiliki sedikitnya 20% material daur ulang. Dengan menggunakan kembali material yang telah dibuat, kami membantu mengurangi limbah dan ketergantungan kita pada sumber daya terbatas dan mengurangi jejak karbon dari produk yang kita buat.;running;https://www.adidas.co.id/media/catalog/product/i/g/ig7400_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU SUPERNOVA SOLUTION;2200000;100;Through lunchtime loops, after-work kilometres or dedicated training runs, these versatile adidas running shoes deliver a lightweight, responsive feel to keep you chasing your running goals. Dreamstrike+ foam is tuned for comfort, while Stability Rods help guide the foot for smooth transitions. A sandwich mesh upper offers support and breathability, and the Adiwear outsole grips the road as you go. By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste. Renewable materials choices will help us to remove our reliance on finite resources. Our products made with a blend of recycled and renewable materials feature at least 20% total of these materials.;running;https://www.adidas.co.id/media/catalog/product/i/g/ig5849_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU HIKING TERREX FREE HIKER 2.0 LOW GORE-TEX;3000000;100;Ketika kamu melakukan pendakian singkat atau sesi lari berhari-hari, Sepatu Hiking adidas Terrex Free Hiker 2.0 Low GORE-TEX ini membantumu menikmati setiap momen petualangan. Paduan sensasi ringan dari sepatu trail running dengan stabilitas sepatu hiking, sepatu ini menjadi mitra idealmu untuk pendakian, baik dekat maupun jauh. Lapisan membran GORE-TEX yang kedap air dan breathable membuat kakimu tetap kering di jalur trail berair, dan frame EVA membantu menstabilkan langkahmu saat melewati jalur berbatu dan tidak rata. Tidak peduli seberapa jauh kamu berjalan saat mengeksplorasi outdoor yang luas, bantalan Boost dengan pengembalian energi membuat sepatu ini nyaman digunakan sepanjang hari.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie5104_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU HIKING TERREX TRAILMAKER 2.0;1700000;100;Jalan-jalan singkat di hutan atau pendakian ambisius di pegunungan alpen, Sepatu Hiking adidas Terrex Trailmaker 2.0 ini memadukan sensasi ringan dan nyaman dari sepatu running dengan topangan tambahan dan traksi sepatu hiking. Upper berbahan mesh memberikan sirkulasi udara yang nyaman serta tahan terhadap gesekan. Midsole dengan bantalan lembut membuatmu tetap nyaman dalam waktu yang lama untuk tetap fokus pada jalur hiking. Dipadukan dengan outsole Karet Continental�, Trailmaker 2 menyediakan daya cengkeram yang andal untuk setiap langkah bahkan di atas batu dan akar yang licin. Pakai sepatu ini dan berpetualang lebih jauh. Dengan memilih untuk mendaur ulang, kita dapat menggunakan kembali material yang telah dibuat, yang membantu mengurangi limbah. Pilihan material terbarukan akan membantu kita menghapus ketergantungan pada sumber daya terbatas. Produk kami dibuat dari paduan material daur ulang dan terbarukan, mengandung sedikitnya 20% total dari material ini.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie5145_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU HIKING TERREX FREE HIKER 2.0;3300000;100;Liburan menuju alam bebas selama satu jam atau di akhir pekan dengan sepatu hiking adidas ini. Midsole BOOST menawarkan bantalan yang tahan lama dan pengembalian energi di permukaan berbatu, sedangkan upper berbahan mesh dengan overlay tanpa jahitan menghasilkan fit bagai kaus kaki yang nyaman. Kerah rajut yang elastis dan adaptif mencegah masuknya kotoran dan serpihan, dan outsole Karet Continental� mempertahankan traksi yang percaya diri di semua medan, dalam kondisi kering maupun basah. Upper sepatu ini dibuat dari benang tenun beperforma tinggi yang mengandung sedikitnya 50% Parley Ocean Plastic � limbah plastik reka ulang yang dikumpulkan dari pulau terpencil, pantai, komunitas pesisir, dan garis pantai, agar tidak mencemari laut kita. 50% lainnya dari benang tenunnya dibuat dari poliester daur ulang.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie5115_2_footwear_photography_side20lateral20view_grey.jpg
SANDAL TERREX HYDROTERRA AT;1500000;100;Perlindungan protektif berpadu dengan sensasi sandal yang sejuk dan nyaman. Dengan sandal segala medan dari adidas ini, kamu siap untuk pendakian di bawah terik matahari dan berhenti untuk makan siang di tepi danau. Sesuaikan strap gesper agar pas dengan kakimu, lalu nyaman berjalan sepanjang hari dengan midsole EVA yang ringan. Toe cap melindungi dari batu di jalur trail sehingga tidak merusak harimu, dan outsole Traxion menghasilkan daya cengkeram saat kamu beraktivitas. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;outdoor;https://www.adidas.co.id/media/catalog/product/i/f/if9167_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU TERREX SOULSTRIDE ULTRA TRAIL RUNNING;2800000;100;Inspired by comfort and adventure, these trail running shoes energise every step with an adidas Lightstrike and BOOST midsole. Their curved rocker shape enables a smooth stride through rough terrain. Continental� Rubber outsole offers secure grip over roots and rock, wet or dry. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie8453_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU TRAIL RUNNING TERREX SOULSTRIDE;1400000;100;Melangkah ke medan trail dan temukan ritmemu dengan sepatu trail running Terrex Soulstride dari adidas. Didesain agar serbaguna, dengan desain tapak hybrid dan bantalan yang sangat nyaman untuk bertransisi dari jalanan ke medan trail. Midsole dari bahan EVA yang ringan di bagian bawah kaki menjadi bantalan lembut dari langkah pertama hingga akhir. Saat menjelajahi permukaan yang licin, outsole karet Traxion memberikan daya cengkeram sehingga kamu merasa mantap dan percaya diri saat berlari. Upper mesh rekayasa menawarkan sirkulasi udara sehingga kamu dapat mencapai tujuan dengan nyaman.Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie9413_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU HIKING TERREX AX3 GORE-TEX;1900000;100;Musim panas cocok melakukan aktivitas eksplorasi, dan sepatu hiking mulitolahraga adidas Terrex ini didesain untuk mengeksplorasi medan yang tinggi, rendah, basah, dan kering. Dari aktivitas pendakian di hutan hingga pendakian alpen, desainnya yang ringan namun stabil dan kuat dapat selalu diandalkan. Membran GORE-TEX mencegah air masuk agar kakimu tetap kering dalam kondisi lembap, dan daya cengkeram segala kondisi dari Karet Continental� membuatmu dapat bergerak dengan percaya diri di area berbatu, batang kayu basah, dan jalur tidak rata.;outdoor;https://www.adidas.co.id/media/catalog/product/i/e/ie2570_1_footwear_photography_side_lateral_view_grey.jpg
SEPATU EVERYSET;1400000;100;Latihan menjadi suatu perjalanan. Ke mana pun kamu pergi, pakai sepatu adidas ini dan mulai aktivitasmu. Bahan rajut lembut dan breathable dengan sensasi yang pas. Midsole berkepadatan ganda, dengan material EVA yang lebih padat di luar material EVA yang lebih lembut di bagian dalam, menambahkan stabilitas tanpa mengorbankan kenyamanan. Bentuk keseluruhan menciptakan sensasi stabil dan berpijak, sehingga kamu bisa berfokus pada postur tubuh. Ubah bebanmu kapan pun kamu mau � outsole berbahan karet multiarah menghasilkan daya cengkeram yang kuat. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;training;https://www.adidas.co.id/media/catalog/product/i/d/id4990_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU RAPIDMOVE ADV;2000000;100;Bergerak cepat dalam kelas HIIT dengan sepatu yang dapat kamu andalkan. Sepatu latihan dari adidas ini didesain untuk gerakan yang dinamis. Upper rajut rekayasa memiliki area topangan yang ditempatkan secara strategis. Bantalan Lightstrike sangat ringan dan responsif, dan Torsion System asimetris membuatmu tetap stabil saat melakukan kelokan cepat dan gerakan ke segala arah. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;training;https://www.adidas.co.id/media/catalog/product/h/p/hp3265_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU DROPSET 2;2200000;100;Sensasi barbel di tanganmu, pelat yang saling bergesekan, cincin bel rekor pribadi. Tidak ada yang mengalahkan momen angkat beban yang hebat, dan sepatu latihan adidas ini memberikan performa yang luar biasa selama sesi Latihan Kekuatan. Midsole drop 6 mm memberikan platform yang rata dan stabil dan membantumu menemukan perataan yang tepat dalam semua gerakan. Midsole berkepadatan ganda memberikan kenyamanan dan stabilitas yang terkontrol, dan Traxion berdaya cengkeram membuat pijakanmu tetap solid. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;training;https://www.adidas.co.id/media/catalog/product/i/e/ie5489_2_footwear_photography_side_lateral_view_grey.jpg
SEPATU RAPIDMOVE;1615000;100;Jangan berlatih dengan sepatu latihanmu yang lain. Gerakan HIIT yang dinamis dan multiarah membutuhkan sepatu khusus. Seperti sepatu latihan yang lincah dan ringan dari adidas ini. Midsole berbahan EVA didesain khusus untuk memberikan kenyamanan dan topangan, dan Torsion System asimetris memberikan stabilitas dinamis untuk gerakan eksplosif di segala arah. Dibuat dari rangkaian material daur ulang, bagian upper mengandung sedikitnya 50% konten daur ulang. Produk ini merepresentasikan hanya salah satu solusi kami untuk membantu mengakhiri pencemaran limbah plastik.;training;https://www.adidas.co.id/media/catalog/product/h/p/hp3287_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU RIVALRY LOW;1600000;100;Menghadirkan kembali masa kejayaan basket era '80-an, sepatu adidas ini pernah menjadi wibawa di lapangan. Kini, sepatu ini menjembatani dunia olahraga dan street style. Upper berbahan kulit full-grain dan suede berpadu dengan lidah berdesain puff dan tali sepatu tebal untuk menghasilkan tampilan yang membuatmu tampil stylish setiap saat. Di bagian bawah, cupsole berbahan karet dan midsole drop-in EVA memberikan kenyamanan dan daya cengkeram untuk lari semulus jump shot-mu.;basket;https://www.adidas.co.id/media/catalog/product/i/d/id5386_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU AE 1 LOW;1900000;100;Lace up in the style of one of the game's emerging superstars. These signature sneakers from adidas Basketball and Anthony Edwards are built for certified bucket getters. The combined BOOST and Lightstrike midsole is ultra-lightweight and adds outstanding energy return to your most explosive moves. A rubber outsole provides all the support you need to attack the hoop, while signature Anthony Edwards branding completes the look.;basket;https://www.adidas.co.id/media/catalog/product/i/f/if1864_2_footwear_photography_side20lateral20view_grey.jpg
ADIZERO SELECT 2.0 LOW TRAINERS;2100000;100;Lightweight and comfortable, the Adizero Select trainers from adidas Basketball keep you moving. A Bounce midsole cushions each stride while the textile upper elevates your comfort level. Whether you're dominating a five-on-five at the park or pushing that pace during a league game, these basketball shoes won't slow you down on your mission to the rack.;basket;https://www.adidas.co.id/media/catalog/product/i/e/ie7870_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU FORUM MOD LOW;1800000;100;Bring preppy style into the modern era with these low-cut adidas shoes. A playful, personality-packed upper and iconic details redesigned for today reinvent the vintage Forum silhouette. Wear them anywhere � an EVA midsole and rubber outsole give you support and swagger. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;basket;https://www.adidas.co.id/media/catalog/product/i/g/ig3766_2_footwear_photography_side20lateral20view_grey.jpg
MAD IIINFINITY SHOES;2800000;100;These basketball-inspired adidas sneakers are ready for your on-the-go lifestyle. Premium mesh, suede and synthetic leather fuse for a futuristic yet retro look. An EVA midsole with TPU inserts provides responsive cushioning and durability. A rubber outsole grips the ground so you can focus on what's ahead. The shoes are a statement for those who play by their own rules.;basket;https://www.adidas.co.id/media/catalog/product/i/g/ig7941_2_footwear_photography_side20lateral20view_grey.jpg
FORUM MID SHOES;1800000;100;These adidas Forum Mid shoes bring a fresh take on a classic. Premium leathers and suedes come together in a mix of textures and tones for a vintage-inspired look that's perfect for now. With a classic hook-and-loop strap and a rubber cupsole, these kicks are as easygoing as a Sunday stroll yet stylish enough for a night out. They keep you looking sharp and feeling comfortable from sun-up to sundown. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;basket;https://www.adidas.co.id/media/catalog/product/i/g/ig3786_2_footwear_photography_side20lateral20view_grey.jpg
SLIDES ADILETTE COMFORT;600000;100;Klasik, karena suatu alasan. Slides adidas ini adalah kombinasi sempurna dari keserbagunaan dan kenyamanan. Sangat pas dan mudah dipakai saat kamu beraktivitas dari geladak kolam renang ke ruang ganti hingga sofa. Dengan tampilan ikonis dan style kasual, slides ini dapat dipadukan dengan celana olahraga dan kaus kaki, atau celana renang dan kaki telanjang, sehingga kamu selalu siap untuk berbagai aktivitas.;slides;https://www.adidas.co.id/media/catalog/product/g/y/gy1945_2_footwear_photography_side_lateral_view_grey_1.jpg
SLIDES ADILETTE AQUA;380000;100;Lakukan aktivitas membilas setelah berenang dengan sandal yang tahan air ini. Sandal slip-on berbahan halus ini memiliki desain yang minimalis dengan 3-Stripes khas yang menunjukkan ciri khas adidas. Bantalan lembut, empuk, dan nyaman memanjakan kaki Anda yang lelah.;slides;https://www.adidas.co.id/media/catalog/product/g/z/gz5233_sl_ecom.jpg
SANDAL CLOG ADILETTE;700000;100;Berdasarkan slide adidas yang ikonis, sandal clog ini memiliki desain fungsional sekaligus nyaman. Ketika kamu berjalan ke gym untuk berolahraga atau berenang di pagi hari atau sekadar tampil kasual sepanjang hari, pakai sandal dengan footbed berkontur ini dan bergegas keluar.;slides;https://www.adidas.co.id/media/catalog/product/g/z/gz5886_2_footwear_photography_side20lateral20view_grey.jpg
SANDAL FLIP-FLOP COMFORT;450000;100;Anda dapat memakai sandal ini sepanjang musim panas dari kolam renang hingga pantai. Sandal ini mengombinasikan daya tahan dari konstruksi yang cocok dengan bantalan yang cepat kering sehingga Anda dapat melewati hari dengan nyaman. Detail warisan klasik menonjolkan inspirasi adidas Anda.;slides;https://www.adidas.co.id/media/catalog/product/E/G/EG2069_SL_eCom.jpg
SLIDES ADILETTE 22;840000;100;Untuk desain slides adidas ini kami melihat peta topografis yang menggambarkan ekspedisi ke Mars dan tahap dimensi dari sebuah planet baru. Kesan futuristiknya bukan itu saja. Mengandung material yang dibuat dari tebu, satu langkah dalam perjalanan ke masa depan yang lebih berkelanjutan. Pakai di berbagai jenis medan dari basah hingga kering.Slides ini dibuat dari material alami dan terbarukan sebagai bagian dari perjalanan kami untuk mengurangi penggunaan sumber daya terbatas dan membantu mengakhiri pencemaran limbah plastik.;slides;https://www.adidas.co.id/media/catalog/product/h/q/hq4670_2_footwear_photography_side20lateral20view_grey.jpg
SLIDES ADILETTE SHOWER;450000;100;Dari tepi kolam renang ke kamar mandi hingga sofa, slides ini didesain untuk gaya hidup bekerja dan beristirahat dengan maksimal. Konstruksi slip-on membuat slides ini pas dan nyaman sehingga mudah dipakai dan dilepas sesukamu. Bantalan yang ringan membuat kakimu tetap nyaman sepanjang hari. adidas Badge of Sport melengkapi tampilan Adilette yang ikonik.;slides;https://www.adidas.co.id/media/catalog/product/h/q/hq6885_2_footwear_photography_side20lateral20view_grey.jpg
COURT SPEC 2 TENNIS SHOES;800000;100;Let your game shine through in these Court Spec 2 tennis shoes from adidas. With a rubber, all-court outsole and flexible Bounce midsole, these lightweight shoes provide solid performance on any surface. Breathable mesh and synthetic overlays team up for a classic-looking upper that'll keep you comfortable through intense rallies. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;tennis;https://www.adidas.co.id/media/catalog/product/i/d/id2470_2_footwear_photography_side20lateral20view_grey.jpg
BARRICADE 13 TENNIS SHOES;2200000;100;Take control of the court in these adidas Barricade tennis shoes. Torsion System provides match-turning stability, while the asymmetric lacing locks you in for quick cuts and slides. A REPETITOR midsole adds support and smooth transitions from one step to the next. Geofit Sensepods follow your heel's natural shape, ensuring comfort and support that lasts through to match point. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;tennis;https://www.adidas.co.id/media/catalog/product/i/g/ig3114_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU TENIS DEFIANT SPEED;1600000;100;Apa gunanya menetapkan target jika kamu tidak dapat mencapainya dalam waktu terekam? Diciptakan untuk pemain yang ingin segera meraih kesuksesan, sepatu tenis adidas ini membuatmu tetap dapat bergerak dengan cepat dengan upper berbahan mesh yang ringan dan Adiwear yang dioptimalkan untuk lapangan keras. Topangan di bagian midfoot membantumu bereaksi dengan cepat saat lawan mencoba untuk mengungguli kewaspadaanmu. Midsole Bounce yang fleksibel terasa lembut dalam setiap sprint dan sidestep.;tennis;https://www.adidas.co.id/media/catalog/product/i/d/id1507_2_footwear_photography_side20lateral20view_grey.jpg
COURTJAM CONTROL 3 TENNIS SHOES;1300000;100;Step into your next match with the comfort and control of these adidas tennis shoes. Their flexible Bounce midsole will keep you on your toes while Torsion System helps you translate instinct into quick cuts and slides. Sitting on a specialist hard court outsole, the mesh upper keeps your feet cool when everything's on the line. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;tennis;https://www.adidas.co.id/media/catalog/product/i/f/if0458_2_footwear_photography_side20lateral20view_grey.jpg
